Date,ret_close,ret_sign,ret_close_20d,ret_sign_20d,ret_vol_20d
2021-02-02,0.005951754744844218,1,0.09897732230842093,1,0.0004046875457404044
2021-04-30,0.012602199711690298,1,0.030547246172796028,1,0.0002794229013300678
2021-07-29,0.010428356318630927,1,0.05806363099510681,1,7.968534124593881e-05
2021-10-28,0.012701963179535536,1,0.08530464691843331,1,6.172523339652725e-05
2022-02-03,-0.015219079091434051,-1,-0.038128308539373656,-1,0.0003320556254878683
2022-04-29,-0.010681577862609148,-1,-0.06387893053496996,-1,0.0008239074987475161
2022-07-29,0.0012880942570090426,1,0.10147520563695878,1,0.0006146377331834397
2022-10-27,-0.00930508258807805,-1,-0.03540503428948827,-1,0.0005481749997252256
2023-02-02,-0.0004937346771995976,-1,0.04475726082004572,1,0.00042816290274090693
2023-04-27,0.018550822501078423,1,-0.02184995046383864,-1,0.0002907848769796356
2023-07-27,-0.02505179227381138,-1,0.09775556208958158,1,0.00019567558282213737
2023-10-26,0.016113393970174084,1,-0.12496521013080986,-1,0.0002776032074225877
2024-02-01,0.024583472485064428,1,0.04426837109035198,1,0.00028569568054492714
2024-04-25,-0.009802732988101526,-1,-0.013186737318121367,-1,0.00025222011683081054
2024-07-25,0.03439876115741303,1,0.06508769729652264,1,0.00030549950380587726
2024-10-24,-0.033148883762077475,-1,-0.10002744901748672,-1,0.0001323879725543235
