Date,ret_close,ret_sign,ret_close_20d,ret_sign_20d,ret_vol_20d
2021-01-29,0.004924937679818386,1,-0.017597366326747466,-1,0.000192983718784262
2021-04-30,0.0036943418238382097,1,0.04830081739844827,1,6.3288343893938e-05
2021-07-29,0.009256329790417794,1,0.05638618270018214,1,0.00012494360669518446
2021-10-28,0.011457155321753287,1,0.018241203458920996,1,9.16440213678037e-05
2022-01-28,0.029545230344283357,1,-0.041621708487338926,-1,9.116966493145798e-05
2022-04-29,-0.019787604247915036,-1,0.0076066576757343185,1,0.00016238088489410176
2022-07-27,0.0070046960174310335,1,0.06614061751785294,1,0.0001286690699345631
2022-10-28,0.035497392128971184,1,0.18973797984728558,1,0.00023811291892315611
2023-02-01,-0.004225878833208685,-1,0.007339310710097191,1,0.0001718829192447804
2023-04-26,-0.006003224589207878,-1,0.050425956135580874,1,1.994897128403812e-05
2023-07-28,-0.00392967241437725,-1,-0.0014942099364962935,-1,5.189934004471204e-05
2023-10-31,0.007764751105131751,1,0.03017800306495344,1,0.00011501800314750888
2024-02-06,-0.004615868797426481,-1,-0.02483727303871186,-1,0.0001621067393914287
2024-05-01,0.0050908291825373375,1,-0.0040284532191333655,-1,6.94506169397833e-05
2024-07-30,0.01920281539285429,1,0.06580263210528425,1,0.00021821215946916784
2024-10-30,-0.011796610169491628,-1,-0.04029496971293134,-1,0.0002392371947320998
