Date,ret_close,ret_sign,ret_close_20d,ret_sign_20d,ret_vol_20d
2021-01-28,-0.026236495921217018,-1,-0.04256087867620484,-1,0.0005192036389719658
2021-04-29,0.0729729729729729,1,0.11876549078192378,1,0.0004374148510195151
2021-07-29,-0.04007715387912558,-1,0.03051393402548097,1,0.0003549724383661986
2021-10-26,-0.03918585901609417,-1,-0.07291941875825625,-1,0.0004684182117290983
2022-02-03,-0.26390092879256966,-1,-0.2665576703581455,-1,0.0039808140995761625
2022-04-28,0.17593598170905977,1,-0.0970814132104455,-1,0.0025988717530101937
2022-07-28,-0.05224672720839729,-1,-0.01964133219470532,-1,0.001472569249333602
2022-10-27,-0.24557079032506546,-1,-0.2820174474012169,-1,0.003778498689532893
2023-02-02,0.23282392894461856,1,0.4820601397503337,1,0.002866586761502154
2023-04-27,0.13925501432664755,1,0.16172388604821042,1,0.0011313329240081424
2023-07-27,0.044009779951100114,1,0.092607522170423,1,0.00043527294573136063
2023-10-26,-0.0373251427236001,-1,-0.05135544150546112,-1,0.00045534368941414516
2024-02-02,0.20317645270783746,1,0.36837404932011975,1,0.002124711267844026
2024-04-25,-0.105612968591692,-1,-0.1062649333819301,-1,0.000892316680738574
2024-08-01,0.04824884695575271,1,-0.023962663738332335,-1,0.0009634602307635578
2024-10-31,-0.04092598850963147,-1,-0.026065171508485196,-1,0.00027965842151663975
