Date,ret_close,ret_sign,ret_close_20d,ret_sign_20d,ret_vol_20d
2021-01-27,-0.015188264119037398,-1,0.09590885053603193,1,0.00010865787332420543
2021-04-21,0.0006908766596742666,1,0.038887874598993344,1,8.26561756176302e-05
2021-07-22,0.002949074812080843,1,0.045171966545909825,1,4.580508442709884e-05
2021-10-20,-0.000548446069469799,-1,-0.0009263343625937059,-1,8.623354037482831e-05
2022-01-26,0.00449987143224484,1,-0.011525068379260817,-1,9.018713016581137e-05
2022-04-20,0.004428031948668254,1,0.050805878308296526,1,0.00012948413922650914
2022-07-20,-0.005700796695190191,-1,-0.013288199914496257,-1,0.00016458412914842121
2022-10-19,-0.007948103913425708,-1,0.008635727626315148,1,0.00010753517591409737
2023-01-25,0.0071297011466935345,1,-0.044906468334460214,-1,7.083126581885559e-05
2023-04-19,0.009440407428110031,1,0.056143998960296315,1,0.0002086577450949268
2023-07-21,0.010749495189452452,1,0.027593285835044057,1,0.00024250265852843164
2023-10-18,-0.021526042667691758,-1,-0.062488490577619626,-1,5.811709210079745e-05
2024-01-24,-0.005318816094111667,-1,0.02251382992409634,1,5.521403955051997e-05
2024-04-17,0.002215299411561178,1,-0.07323474809551245,-1,7.508203567678573e-05
2024-07-18,-0.007408353557287195,-1,0.0670786131136285,1,0.00012241651949101626
2024-10-16,0.00109689213893982,1,-0.011254890159494435,-1,3.76813700461806e-05
